center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,sentence_position,text_value
[505.   5. 806.  15.  51.  58.  44. 205.],13,527,61,"527    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"527    828
Name: sentence_position, dtype: int64","527    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,528,62,"528    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"528    828
Name: sentence_position, dtype: int64","528    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,529,63,"529    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"529    828
Name: sentence_position, dtype: int64","529    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,530,64,"530    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"530    828
Name: sentence_position, dtype: int64","530    rs
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,531,65,"531    NORP
Name: entity_type, dtype: object",16,72,"531    854
Name: sentence_position, dtype: int64","531    American
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,532,65,"532    PERSON
Name: entity_type, dtype: object",16,72,"532    854
Name: sentence_position, dtype: int64","532    by\xef\xbf\xbdhich
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,533,66,"533    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"533    854
Name: sentence_position, dtype: int64","533    rm
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,534,67,"534    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"534    854
Name: sentence_position, dtype: int64","534    ri
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,535,68,"535    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"535    854
Name: sentence_position, dtype: int64","535    ri
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,553,1,"553    CARDINAL
Name: entity_type, dtype: object",16,9,"553    893
Name: sentence_position, dtype: int64","553                 
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,560,2,"560    PERSON
Name: entity_type, dtype: object",16,9,"560    899
Name: sentence_position, dtype: int64","560                            
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,562,2,"562    DATE
Name: entity_type, dtype: object",16,9,"562    899
Name: sentence_position, dtype: int64","562    ('y', '69')
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,563,2,"563    DATE
Name: entity_type, dtype: object",16,9,"563    899
Name: sentence_position, dtype: int64","563    ('y', '69')
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,570,2,"570    CARDINAL
Name: entity_type, dtype: object",16,9,"570    914
Name: sentence_position, dtype: int64","570    2002:4559:1FE2::4559:1FE2\n\nCASE
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,571,3,"571    CARDINAL
Name: entity_type, dtype: object",16,9,"571    914
Name: sentence_position, dtype: int64","571                 
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,572,3,"572    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"572    914
Name: sentence_position, dtype: int64","572    002 4559
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,578,4,"578    PERSON
Name: entity_type, dtype: object",16,9,"578    921
Name: sentence_position, dtype: int64","578                            
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,580,4,"580    CARDINAL
Name: entity_type, dtype: object",16,9,"580    921
Name: sentence_position, dtype: int64","580    2011\n
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,536,1,"536    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"536    854
Name: sentence_position, dtype: int64","536    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,537,2,"537    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"537    854
Name: sentence_position, dtype: int64","537    rs
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,538,3,"538    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"538    854
Name: sentence_position, dtype: int64","538    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,539,4,"539    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"539    854
Name: sentence_position, dtype: int64","539    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,540,5,"540    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"540    854
Name: sentence_position, dtype: int64","540    rm
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,541,6,"541    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"541    854
Name: sentence_position, dtype: int64","541    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,542,7,"542    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"542    854
Name: sentence_position, dtype: int64","542    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,543,8,"543    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"543    854
Name: sentence_position, dtype: int64","543    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,544,9,"544    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"544    854
Name: sentence_position, dtype: int64","544    rs
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,545,10,"545    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"545    854
Name: sentence_position, dtype: int64","545    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,546,11,"546    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"546    854
Name: sentence_position, dtype: int64","546    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,547,12,"547    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"547    880
Name: sentence_position, dtype: int64","547    rd
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,548,13,"548    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"548    880
Name: sentence_position, dtype: int64","548    re
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,549,14,"549    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"549    880
Name: sentence_position, dtype: int64","549    rd
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,550,15,"550    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"550    880
Name: sentence_position, dtype: int64","550    re
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,551,16,"551    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"551    886
Name: sentence_position, dtype: int64","551    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,552,17,"552    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"552    886
Name: sentence_position, dtype: int64","552    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,554,18,"554    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"554    893
Name: sentence_position, dtype: int64","554    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,555,19,"555    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"555    893
Name: sentence_position, dtype: int64","555    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,556,20,"556    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"556    893
Name: sentence_position, dtype: int64","556    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,557,21,"557    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"557    893
Name: sentence_position, dtype: int64","557    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,558,22,"558    PERSON
Name: entity_type, dtype: object",16,42,"558    899
Name: sentence_position, dtype: int64","558    Patricia Bowman
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,559,23,"559    PERSON
Name: entity_type, dtype: object",16,42,"559    899
Name: sentence_position, dtype: int64","559    Robert Sury
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,561,24,"561    DATE
Name: entity_type, dtype: object",16,42,"561    899
Name: sentence_position, dtype: int64","561    July 22
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,564,25,"564    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"564    899
Name: sentence_position, dtype: int64","564    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,565,26,"565    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"565    899
Name: sentence_position, dtype: int64","565    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,566,27,"566    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"566    899
Name: sentence_position, dtype: int64","566    ry
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,567,28,"567    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"567    899
Name: sentence_position, dtype: int64","567    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,568,29,"568    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"568    899
Name: sentence_position, dtype: int64","568    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,569,30,"569    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"569    899
Name: sentence_position, dtype: int64","569    ry
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,573,31,"573    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"573    914
Name: sentence_position, dtype: int64","573    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,574,32,"574    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"574    914
Name: sentence_position, dtype: int64","574    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,575,33,"575    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"575    914
Name: sentence_position, dtype: int64","575    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,576,34,"576    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"576    914
Name: sentence_position, dtype: int64","576    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,577,35,"577    PERSON
Name: entity_type, dtype: object",16,42,"577    921
Name: sentence_position, dtype: int64","577    Patricia Bowman
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,579,36,"579    DATE
Name: entity_type, dtype: object",16,42,"579    921
Name: sentence_position, dtype: int64","579    July 22
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,581,37,"581    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"581    921
Name: sentence_position, dtype: int64","581    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,582,38,"582    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"582    921
Name: sentence_position, dtype: int64","582    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,583,39,"583    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"583    921
Name: sentence_position, dtype: int64","583    ry
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,584,40,"584    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"584    921
Name: sentence_position, dtype: int64","584    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,585,41,"585    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"585    921
Name: sentence_position, dtype: int64","585    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,586,42,"586    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"586    921
Name: sentence_position, dtype: int64","586    ry
Name: text_value, dtype: object"
