center,cluster,cluster_member,entity_type,number_of_clusters,number_of_members,text_value
[416.   9. 632.  15.  37.  50.  47. 202.],11,395,"395    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"395    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,396,"396    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"396    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,397,"397    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"397    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,398,"398    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"398    ro
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,399,"399    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"399    rt
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,400,"400    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"400    ri
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,401,"401    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"401    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,402,"402    ORG
Name: entity_type, dtype: object",16,78,"402    Review of PR Policies
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,403,"403    ORG
Name: entity_type, dtype: object",16,78,"403    \xef\xbf\xbdLong
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,404,"404    NORP
Name: entity_type, dtype: object",16,78,"404    American
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,406,"406    DATE
Name: entity_type, dtype: object",16,78,"406    some years
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,408,"408    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"408    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,409,"409    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"409    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,410,"410    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"410    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,411,"411    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"411    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,412,"412    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"412    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,413,"413    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"413    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,414,"414    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"414    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,415,"415    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"415    ri
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,416,"416    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"416    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,417,"417    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"417    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,418,"418    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"418    rm
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,419,"419    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"419    ro
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,420,"420    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"420    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,421,"421    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"421    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,422,"422    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"422    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,423,"423    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"423    ro
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,424,"424    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"424    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,425,"425    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"425    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,426,"426    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"426    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,427,"427    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"427    rs
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,428,"428    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"428    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,429,"429    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"429    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,430,"430    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"430    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,431,"431    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"431    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,432,"432    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"432    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,433,"433    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"433    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,434,"434    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"434    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,435,"435    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"435    ri
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,436,"436    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"436    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,437,"437    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"437    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,438,"438    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"438    rm
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,439,"439    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"439    ro
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,440,"440    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"440    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,441,"441    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"441    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,442,"442    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"442    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,443,"443    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"443    ro
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,444,"444    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"444    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,445,"445    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"445    re
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,446,"446    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"446    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,447,"447    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"447    rs
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,448,"448    PERSON
Name: entity_type, dtype: object",16,78,"448    tttsJwrad,.pani*\xef\xbf\xbdnoe
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,449,"449    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"449    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,450,"450    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"450    ra
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,451,"451    PERSON
Name: entity_type, dtype: object",16,78,"451    Bui
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,452,"452    PERSON
Name: entity_type, dtype: object",16,78,"452    Btouffer
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,454,"454    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"454    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,455,"455    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"455    rv
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,456,"456    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"456    r 
Name: text_value, dtype: object"
[416.   9. 632.  15.  37.  50.  47. 202.],11,457,"457    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,78,"457    rv
Name: text_value, dtype: object"
[471.   3. 757.   1.  38.  51.  49.  27.],12,453,"453    DATE
Name: entity_type, dtype: object",16,7,"453    1955 and 1955 shoved\n\na
Name: text_value, dtype: object"
[471.   3. 757.   1.  38.  51.  49.  27.],12,458,"458    CARDINAL
Name: entity_type, dtype: object",16,7,"458    16-25
Name: text_value, dtype: object"
[471.   3. 757.   1.  38.  51.  49.  27.],12,459,"459    DATE
Name: entity_type, dtype: object",16,7,"459    ('oup', '16')
Name: text_value, dtype: object"
[471.   3. 757.   1.  38.  51.  49.  27.],12,471,"471    DATE
Name: entity_type, dtype: object",16,7,"471    1955
Name: text_value, dtype: object"
[471.   3. 757.   1.  38.  51.  49.  27.],12,472,"472    CARDINAL
Name: entity_type, dtype: object",16,7,"472    1953*\n\n3
Name: text_value, dtype: object"
[471.   3. 757.   1.  38.  51.  49.  27.],12,486,"486    DATE
Name: entity_type, dtype: object",16,7,"486    ('tant', '18')
Name: text_value, dtype: object"
[471.   3. 757.   1.  38.  51.  49.  27.],12,487,"487    DATE
Name: entity_type, dtype: object",16,7,"487    ('tant', '18')
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,460,"460    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"460    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,461,"461    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"461    rg
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,462,"462    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"462    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,463,"463    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"463    rt
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,464,"464    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"464    rs
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,465,"465    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"465    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,466,"466    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"466    rg
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,467,"467    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"467    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,468,"468    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"468    rt
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,469,"469    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"469    rs
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,470,"470    ORG
Name: entity_type, dtype: object",16,72,"470    Th\'it
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,473,"473    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"473    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,474,"474    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"474    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,475,"475    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"475    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,476,"476    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"476    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,477,"477    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"477    rc
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,478,"478    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"478    rs
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,479,"479    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"479    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,480,"480    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"480    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,481,"481    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"481    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,482,"482    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"482    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,483,"483    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"483    rc
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,484,"484    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"484    rs
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,485,"485    ORG
Name: entity_type, dtype: object",16,72,"485    foilo\'e
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,488,"488    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"488    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,489,"489    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"489    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,490,"490    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"490    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,491,"491    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"491    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,492,"492    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"492    rt
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,493,"493    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"493    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,494,"494    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"494    rt
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,495,"495    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"495    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,496,"496    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"496    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,497,"497    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"497    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,498,"498    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"498    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,499,"499    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"499    rt
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,500,"500    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"500    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,501,"501    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"501    rt
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,502,"502    PRODUCT
Name: entity_type, dtype: object",16,72,"502    claims.\n\nThese h/vre
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,503,"503    PRODUCT
Name: entity_type, dtype: object",16,72,"503    T.I.B.C.    
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,504,"504    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"504    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,505,"505    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"505    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,506,"506    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"506    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,507,"507    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"507    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,508,"508    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"508    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,509,"509    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"509    ry
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,510,"510    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"510    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,511,"511    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"511    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,512,"512    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"512    ro
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,513,"513    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"513    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,514,"514    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"514    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,515,"515    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"515    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,516,"516    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"516    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,517,"517    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"517    ry
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,518,"518    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"518    re
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,519,"519    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"519    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,520,"520    ORG
Name: entity_type, dtype: object",16,72,"520    Company
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,521,"521    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"521    r,
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,522,"522    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"522    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,523,"523    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"523    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,524,"524    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"524    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,525,"525    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"525    rs
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,526,"526    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"526    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,527,"527    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"527    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,528,"528    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"528    r 
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,529,"529    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"529    ra
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,530,"530    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"530    rs
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,531,"531    NORP
Name: entity_type, dtype: object",16,72,"531    American
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,532,"532    PERSON
Name: entity_type, dtype: object",16,72,"532    by\xef\xbf\xbdhich
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,533,"533    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"533    rm
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,534,"534    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"534    ri
Name: text_value, dtype: object"
[505.   5. 806.  15.  51.  58.  44. 205.],13,535,"535    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,72,"535    ri
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,553,"553    CARDINAL
Name: entity_type, dtype: object",16,9,"553                 
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,560,"560    PERSON
Name: entity_type, dtype: object",16,9,"560                            
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,562,"562    DATE
Name: entity_type, dtype: object",16,9,"562    ('y', '69')
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,563,"563    DATE
Name: entity_type, dtype: object",16,9,"563    ('y', '69')
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,570,"570    CARDINAL
Name: entity_type, dtype: object",16,9,"570    2002:4559:1FE2::4559:1FE2\n\nCASE
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,571,"571    CARDINAL
Name: entity_type, dtype: object",16,9,"571                 
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,572,"572    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"572    002 4559
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,578,"578    PERSON
Name: entity_type, dtype: object",16,9,"578                            
Name: text_value, dtype: object"
[563.   6. 899.   1.  46.  47.  17.  14.],14,580,"580    CARDINAL
Name: entity_type, dtype: object",16,9,"580    2011\n
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,536,"536    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"536    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,537,"537    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"537    rs
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,538,"538    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"538    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,539,"539    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"539    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,540,"540    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"540    rm
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,541,"541    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"541    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,542,"542    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"542    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,543,"543    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"543    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,544,"544    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"544    rs
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,545,"545    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"545    ro
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,546,"546    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"546    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,547,"547    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"547    rd
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,548,"548    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"548    re
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,549,"549    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"549    rd
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,550,"550    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"550    re
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,551,"551    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"551    ri
Name: text_value, dtype: object"
